챔피언	레벨	공격력	공격속도	체력	마나	체력재생	마나재생	방어력	마법저항	이동속도	사거리	인기도
아리	3	59	0.681	674.4	434	7.71	7.6	27.88	30	330	550	8.05
아무무	3	61	0.652	781.12	367.2	10.58	8.43	30.74	34.6	335	125	7.72
아지르	3	57.6	0.609	684.4	434.56	8.02	7.6	25.04	30	325	525	6.27
아칼리	3	64.8	0.716	757.8	200	9.64	50	33.38	34.6	350	125	7.57
아트록스	3	66.8	0.671	707.8	195.6	7.59	0	31.98	34.6	345	150	6.78
알리스타	3	58.2	0.638	825.36	354.84	10.38	10.1	31.38	34.6	330	125	7.68
애니	3	55.7	0.587	663.68	434	6.52	7.6	27.22	30	335	625	7.66
애니비아	3	57.8	0.636	607.6	496.04	6.67	7.6	29.22	30	325	600	7.66
애쉬	3	61	0.68	685.72	344	6.52	12.3	28.01	30	325	600	7.42
앨리스	3	56.5	0.636	689.4	424	6.91	7.6	28.83	30	330	550	7.69
야스오	3	61.8	0.681	681.76	60	8.31	0	31.51	30	345	175	7.01
에코	3	65	0.646	740	380	10.8	10.6	33	34.5	340	125	7.57
오공	3	66.3	0.678	747.8	341.84	7.49	9.34	31.88	34.6	345	175	7.15
오리아나	3	45.6	0.681	675.72	434	7.97	7.6	23.04	30	325	525	7.7
요릭	3	64.6	0.644	733.8	363.8	9.58	7.66	32.25	34.6	345	125	6.87
우디르	3	64.7	0.676	791.32	330.4	10.21	8.41	33.47	34.6	345	125	5.31
우르곳	3	59.2	0.663	764.52	422.4	7.71	9.89	31.14	30	335	425	6.22
울라프	3	67	0.713	783.24	399.6	10.31	8.62	32.04	34.6	350	125	7.43
워윅	3	69.2	0.699	788.64	300.4	9.99	9.31	32.88	34.6	345	125	7.43
이렐리아	3	68.1	0.686	787.2	402.8	9.89	12.8	32.8	34.6	345	125	7.51
이블린	3	60.9	0.683	711.2	399.6	10.92	9.31	34.1	34.6	340	125	7.28
이즈리얼	3	60.5	0.643	644.4	444.6	7.52	9.39	28.88	30	325	550	7.96
일라오이	3	70	0.585	775.6	380	11.1	9	33.6	34.6	340	125	7.88
자르반4세	3	62.5	0.674	751.2	382.2	9.58	7.66	36.2	34.6	340	175	7.7
자이라	3	59.8	0.638	627.32	434	6.69	10.1	26.04	30	325	575	7.62
잔나	3	57.9	0.641	643.04	537.52	6.52	9.8	26.98	30	335	475	7.6
재드	3	61.5	0.708	739.4	200	8.39	50	33.88	34.6	345	125	7.94
잭스	3	68.7	0.66	762.8	402.8	9.47	8.98	33.04	34.6	350	125	7.7
쟈크	3	66.4	0.648	804.6	0	9.02	0	30.88	34.6	335	175	7.72
제라스	3	60.7	0.639	674.4	454.96	6.52	7.6	28.88	30	340	525	7
제이스	3	57.4	0.676	751.2	431.2	8.94	7.6	29.38	30	335	125	7.67
직스	3	60.4	0.667	684.4	478	7.46	7.6	28.14	30	325	550	7.68
질리언	3	57.6	0.638	653.28	480.8	6.44	10.1	26.73	30	335	550	7.41
징크스	3	63.3	0.631	681.76	335.6	6.84	8.68	29.88	30	325	525	7.73
초가스	3	69.6	0.634	734.4	352.2	10.63	8.11	35.88	34.6	345	125	7.5
카르마	3	60.1	0.639	688.44	474	6.72	10.1	27.98	30	335	525	6.61
카사딘	3	66.7	0.664	720.04	531.6	8.79	7.6	29.78	30	340	150	7.66
카서스	3	52.2	0.638	666	494.48	7.52	7.6	27.88	30	335	450	7.69
카시오페이아	3	58.8	0.658	656	490.8	6.69	9.86	30.22	30	335	550	6.41
카직스	3	61.4	0.683	742.8	407.2	9.01	8.59	33	34.6	350	125	7.63
카타리나	3	64.4	0.676	676	0	5.6	0	33.88	34.6	345	125	7.71
칼리스타	3	68.7	0.676	683.76	301.8	7.1	7.1	26.01	30	325	550	7.16
케넨	3	57.1	0.713	693.72	200	6.89	50	31.8	30	335	550	7.63
케이틀린	3	58	0.65	684.4	383.8	6.77	8.52	29.88	30	325	650	7.72
케일	3	61.6	0.652	760.24	402.2	9.76	10.1	33.88	30	335	125	7.55
코그모	3	59.3	0.683	681	428.88	7.02	10.08	26.88	30	325	500	7.46
코르키	3	61	0.639	676.76	418.16	6.52	8.52	30.38	30	325	550	7.17
퀸	3	61.3	0.689	702.8	338.8	6.52	7.77	30.38	30	335	525	7.06
킨드레드	3	57.6	0.641	710	370	8.1	10.5	33.5	30	325	500	7.78
타릭	3	64.9	0.638	799.2	461.08	8.94	10.1	33.28	34.6	340	125	6.92
탈론	3	61.4	0.686	752.8	451.2	10.01	8.59	33.88	34.6	350	125	7.68
탐켄치	3	62.4	0.641	800	405	7.6	10	33	34.6	335	175	7.26
트런들	3	66	0.691	808.28	371.6	11.13	8.71	32.94	34.6	350	175	6.6
트리스타나	3	57.5	0.666	706.76	310.76	7.49	8.11	28	30	325	564	7.59
트린다미어	3	67.8	0.663	821.64	100	10.31	0	30.31	34.6	345	125	7.68
트위스티드페이트	3	56.6	0.672	685.76	341.84	6.71	7.6	26.84	30	330	525	7.72
트위치	3	59.3	0.702	687.08	367.2	7.21	8.16	29.04	30	330	550	6.98
티모	3	61.9	0.71	679.76	347.2	7.04	8.11	31.8	30	330	500	6.19
판테온	3	61.4	0.663	753.16	379.12	9.14	8.26	35.45	34.6	355	150	7.7
피들스틱	3	53.6	0.638	684.4	512.12	6.81	7.6	27.88	30	335	480	7.44
피오라	3	66.6	0.694	720	380	9.35	9.4	31	34.6	345	150	7.16
피즈	3	64	0.678	730.48	391.2	9.58	7.6	29.21	34.6	335	175	7.55
하이머딩거	3	60.9	0.634	626	387.2	14.51	7.6	25.04	30	340	550	6.33
헤카림	3	67.8	0.687	789.6	401.2	10.76	8.71	34.72	34.6	345	175	7.5
가렌	4	71.4	0.661	869.03	0	9.34	0	36.54	35.85	340	175	7.24
갈리오	4	72.1	0.653	832.8	510	10.96	8.4	37.38	35.85	335	125	6.71
갱플랭크	4	68	0.687	826	402.2	7.76	9.78	35.94	35.85	345	125	6.65
그라가스	4	71.9	0.678	850.52	541	11.23	8.4	36.85	35.85	330	125	7.1
그레이브즈	4	68.1	0.661	803.12	442.2	8.78	10.03	34.58	30	345	425	7.7
나르	4	57	0.631	735	100	4	0	30.5	30	325	150	7.07
나미	4	60.5	0.676	711.32	506.24	7.07	12.7	31.72	30	335	550	7.86
나서스	4	69.7	0.682	831.2	451.6	11.71	8.94	35.38	35.85	350	125	7.21
노틸러스	4	67.4	0.625	834.48	475	10.02	10.73	37.71	35.85	325	175	7.15
녹턴	4	68.5	0.704	837.8	378.8	10.51	8.11	37.38	35.85	345	125	7.59
누누	4	67.2	0.653	886.28	409.56	10.79	8.94	36.88	35.85	350	125	6.88
니달리	4	58.4	0.679	811.2	430.6	7.81	8.4	33.38	30	335	525	7.56
다리우스	4	70.9	0.638	882.24	375.5	12.7	7.64	41.88	35.85	340	175	7.66
다이애나	4	62	0.661	859.2	417.2	9.98	8.4	36.85	35.85	345	150	7.73
드레이븐	4	64.5	0.714	803.76	477.56	8.28	9.99	35.44	30	330	550	7.46
라이즈	4	64	0.651	816.48	548.4	6.92	8.4	33.25	30	340	550	7.64
람머스	4	66.4	0.653	822.48	409.44	9.57	9.34	44.28	35.85	335	125	7.46
럭스	4	63.4	0.642	714.72	525	7.07	8.4	30.72	30	330	550	7.71
럼블	4	70.6	0.668	824.4	100	9.81	0	36.38	35.85	345	125	7.47
레넥톤	4	67.6	0.7	833.16	100	10.21	0	36.98	35.85	345	125	7.61
레오나	4	69	0.661	837.16	422.2	10.98	8.4	38.01	35.85	335	125	7.8
렉사이	4	65.7	0.65	881.2	100	9.29	0	39.55	35.85	335	175	7.66
렝가	4	69	0.708	856.2	5	5.47	0	36.38	35.85	345	125	7.76
루시안	4	64.7	0.68	794.4	462.88	8.14	10.28	33.04	30	335	500	7.55
룰루	4	54.2	0.653	774.76	457.4	7.81	13.4	30.32	30	325	550	7.77
르블랑	4	65.4	0.643	741	484	9.07	8.4	32.38	30	335	525	7.46
리븐	4	65	0.669	816.48	0	4.84	0	33.98	35.85	345	125	7.91
리산드라	4	58.6	0.642	758.12	454	8.57	6.87	31.32	30	325	550	7.42
리신	4	70.8	0.69	825.8	200	9.53	50	35.32	35.85	350	125	7.71
마스터이	4	69	0.706	874.56	376.56	9.54	8.61	33.04	35.85	355	125	6.25
마오카이	4	73.4	0.724	842.2	506.28	11.23	8.56	40.72	30	335	125	7.27
말자하	4	63.7	0.642	754.4	460.6	7.07	8.4	32.38	30	340	550	7.69
말파아트	4	72.1	0.681	844.2	402.2	10.02	8.97	39.55	35.85	335	125	7.67
모데카이저	4	76	0.736	765	120	5.02	0	31.25	35.85	325	175	7.38
모르가나	4	66	0.644	805.48	520.8	7.51	8.4	36.78	30	335	450	7.7
문도	4	70.3	0.66	849.52	0	10.01	0	37.38	35.85	345	125	7.46
미스포츈	4	49	0.695	785	430.84	8.14	9.99	33.04	30	325	550	7.56
바드	4	55	0.65	814	500	7.05	7.35	33	30	330	500	6.1
바루스	4	61.9	0.693	783.76	459	7.07	9.74	33.41	30	330	575	7.68
바이	4	66.4	0.675	837.8	430.6	11.71	10.04	36.38	35.85	345	125	7.54
베이가	4	58.6	0.653	738.76	548.4	7.07	8.4	33.8	30	340	525	6.75
베인	4	61.9	0.711	747.44	336.8	7.07	8.17	29.21	30	330	550	7.29
벨코즈	4	64.4	0.642	735.68	501.6	7.07	8.4	32.38	30	340	525	7.67
볼리베어	4	69.4	0.661	842.48	360.4	10.04	10.04	36.88	35.85	345	125	7.5
브라움	4	65	0.673	837.16	445.6	11.18	8.4	40.22	35.85	335	125	7.66
브랜드	4	66	0.642	735.68	501.6	7.07	9.81	32.38	30	340	550	7.04
블라디미르	4	57	0.684	797.8	0	8.81	0	32.38	30	335	450	7.61
블리츠크랭크	4	72	0.639	867.6	387.2	10.76	10.9	36.38	35.85	325	125	7.47
빅토르	4	61	0.651	750.04	474	9.79	8.4	34.72	30	335	525	7.14
뽀삐	4	72.1	0.681	802.08	325.4	10.02	8.51	40.72	30	345	125	6.26
사이온	4	71.7	0.645	761.64	451.6	12.58	9.81	32.04	35.85	345	175	6.65
샤코	4	68.1	0.736	834.12	408.2	10.02	8.51	35.38	35.85	350	125	7.49
세주아니	4	67.4	0.689	885	520	11.23	8.56	38.54	35.85	340	125	7.25
소나	4	59	0.674	713.36	475.6	7.07	12.7	30.44	30	325	550	8.01
소라카	4	59	0.652	763.04	530.8	4	10.2	34.78	30	325	550	7.7
쉔	4	70.3	0.695	825.8	200	10.02	50	37.72	30	335	125	7.71
쉬바나	4	70.9	0.68	879.6	100	10.99	0	37.68	35.85	350	125	7.69
스웨인	4	61	0.651	750.04	515	9.79	8.4	34.72	30	335	500	7.76
스카너	4	73.8	0.651	889.28	392.2	11.48	8.56	40.78	35.85	345	125	6.92
시비르	4	64.7	0.645	761.76	434	6.82	10.71	31.96	30	335	500	7.52
신드라	4	62.6	0.634	745.04	564	8.31	8.4	34.91	30	330	550	7.17
신지드	4	72.4	0.635	788.76	425.6	9.67	9.17	38.38	30	345	125	7.41
신짜오	4	67.4	0.708	852.16	378.8	10.28	8.61	36.38	35.85	345	175	7.27
쓰레쉬	4	54.3	0.625	839.52	405.92	8.57	8.4	16	30	335	450	7.95
아리	4	62	0.693	754.4	484	8.31	8.4	31.38	30	330	550	8.05
아무무	4	64.8	0.666	865.12	407.2	11.43	8.96	34.34	35.85	335	125	7.72
아지르	4	60.4	0.618	764.4	476.56	8.57	8.4	28.04	30	325	525	6.27
아칼리	4	68	0.737	842.8	200	10.29	50	36.88	35.85	350	125	7.57
아트록스	4	70	0.69	792.8	240.6	8.09	0	35.78	35.85	345	150	6.78
알리스타	4	61.9	0.652	931.36	392.84	11.23	10.9	34.88	35.85	330	125	7.68
애니	4	58.3	0.595	739.68	484	7.07	8.4	31.22	30	335	625	7.66
애니비아	4	61	0.646	677.6	546.04	7.22	8.4	33.22	30	325	600	7.66
애쉬	4	63.3	0.702	764.72	376	7.07	12.7	31.41	30	325	600	7.42
앨리스	4	59.5	0.647	769.4	474	7.51	8.4	32.18	30	330	550	7.69
야스오	4	65	0.704	763.76	60	9.21	0	34.91	30	345	175	7.01
에코	4	68	0.666	820	430	11.7	11.4	36	35.75	340	125	7.57
오공	4	69.5	0.697	832.8	379.84	8.14	9.99	35.38	35.85	345	175	7.15
오리아나	4	48.2	0.704	754.72	484	8.52	8.4	26.04	30	325	525	7.7
요릭	4	68.1	0.663	818.8	398.8	10.28	8.11	35.85	35.85	345	125	6.87
우디르	4	67.9	0.693	890.32	360.4	10.96	8.86	37.47	35.85	345	125	5.31
우르곳	4	62.8	0.681	853.52	477.4	8.31	10.54	34.44	30	335	425	6.22
울라프	4	70.5	0.731	876.24	441.6	11.21	9.19	35.04	35.85	350	125	7.43
워윅	4	72.6	0.718	886.64	330.4	10.79	9.91	36.38	35.85	345	125	7.43
이렐리아	4	71.4	0.708	877.2	434.8	10.54	13.45	36.55	35.85	345	125	7.51
이블린	4	64.4	0.709	801.2	441.6	11.47	9.91	37.9	35.85	340	125	7.28
이즈리얼	4	62.9	0.66	724.4	486.6	8.07	10.04	32.38	30	325	550	7.96
일라오이	4	75	0.6	870.6	420	11.9	9.75	37.4	35.85	340	125	7.88
자르반4세	4	65.9	0.691	841.2	422.2	10.28	8.11	39.8	35.85	340	175	7.7
자이라	4	63	0.651	701.32	484	7.19	10.9	29.04	30	325	575	7.62
잔나	4	60.8	0.658	721.04	601.52	7.07	10.2	30.78	30	335	475	7.6
재드	4	64.9	0.73	819.4	200	9.04	50	37.38	35.85	345	125	7.94
잭스	4	72.1	0.681	847.8	434.8	10.02	9.68	36.04	35.85	350	125	7.7
쟈크	4	69.8	0.658	899.6	0	9.57	0	34.38	35.85	335	175	7.72
제라스	4	63.7	0.647	754.4	498.96	7.07	8.4	32.38	30	340	525	7
제이스	4	60.9	0.694	841.2	468.2	9.74	8.4	32.88	30	335	125	7.67
직스	4	63.5	0.678	764.4	525	8.06	8.4	31.44	30	325	550	7.68
질리언	4	60.6	0.65	730.28	540.8	6.94	10.9	30.53	30	335	550	7.41
징크스	4	65.7	0.638	763.76	380.6	7.34	9.68	33.38	30	325	525	7.73
초가스	4	73.8	0.643	814.4	392.2	11.48	8.56	39.38	35.85	345	125	7.5
카르마	4	63.4	0.654	771.44	524	7.27	10.9	31.78	30	335	525	6.61
카사딘	4	70.6	0.687	798.04	598.6	9.29	8.4	32.98	30	340	150	7.66
카서스	4	55.4	0.651	741	555.48	8.07	8.4	31.38	30	335	450	7.69
카시오페이아	4	62	0.669	731	550.8	7.19	10.61	34.22	30	335	550	6.41
카직스	4	64.5	0.701	827.8	447.2	9.76	9.09	36	35.85	350	125	7.63
카타리나	4	67.6	0.694	759	0	6.15	0	37.38	35.85	345	125	7.71
칼리스타	4	71.7	0.695	766.76	336.8	7.65	7.5	29.51	30	325	550	7.16
케넨	4	60.4	0.737	772.72	200	7.54	50	35.55	30	335	550	7.63
케이틀린	4	60.2	0.675	764.4	418.8	7.32	9.07	33.38	30	325	650	7.72
케일	4	64.4	0.666	853.24	442.2	10.51	10.9	37.38	30	335	125	7.55
코그모	4	61.7	0.7	763	468.88	7.57	10.78	30.38	30	325	500	7.46
코르키	4	63.5	0.654	758.76	452.16	7.07	9.07	33.88	30	325	550	7.17
퀸	4	63.7	0.71	787.8	373.8	7.07	8.17	33.88	30	335	525	7.06
킨드레드	4	59.3	0.656	795	405	8.65	12.5	36.75	30	325	500	7.78
타릭	4	68.4	0.65	889.2	517.08	9.44	10.9	36.98	35.85	340	125	6.92
탈론	4	64.5	0.704	837.8	488.2	10.76	9.09	37.38	35.85	350	125	7.68
탐켄치	4	65.6	0.656	895	445	8.15	11	36	35.85	335	175	7.26
트런들	4	69	0.711	904.28	416.6	11.98	9.31	35.64	35.85	350	175	6.6
트리스타나	4	60.5	0.676	788.76	342.76	8.14	8.56	31	30	325	571	7.59
트린다미어	4	71	0.681	919.64	100	11.21	0	33.41	35.85	345	125	7.68
트위스티드페이트	4	59.9	0.693	767.76	379.84	7.31	8.4	29.99	30	330	525	7.72
트위치	4	61.7	0.725	768.08	407.2	7.81	8.61	32.04	30	330	550	6.98
티모	4	64.3	0.733	761.76	387.2	7.69	8.56	35.55	30	330	500	6.19
판테온	4	64.3	0.682	840.16	410.12	9.79	8.71	39.35	35.85	355	150	7.7
피들스틱	4	56.2	0.651	764.4	568.12	7.41	8.4	31.38	30	335	480	7.44
피오라	4	69.9	0.715	805	420	9.9	10.1	34.5	35.85	345	150	7.16
피즈	4	67	0.699	816.48	428.2	10.28	8.4	32.61	35.85	335	175	7.55
하이머딩거	4	63.6	0.642	701	427.2	16.26	8.4	28.04	30	340	550	6.33
헤카림	4	71	0.704	884.6	438.2	11.51	9.31	38.72	35.85	345	175	7.5
가렌	5	75.9	0.679	953.28	0	9.84	0	39.54	37.1	340	175	7.24
갈리오	5	75.5	0.661	917.8	557	11.71	9.2	40.88	37.1	335	125	6.71
갱플랭크	5	71	0.705	908	442.2	8.51	10.48	39.24	37.1	345	125	6.65
그라가스	5	75.4	0.691	939.52	588	12.08	9.2	40.45	37.1	330	125	7.1
그레이브즈	5	70.5	0.679	887.12	482.2	9.48	10.73	37.98	30	345	425	7.7
나르	5	60	0.634	800	100	4.5	0	33	30	325	150	7.07
나미	5	63.6	0.693	785.32	549.24	7.62	13.1	35.72	30	335	550	7.86
나서스	5	73.2	0.705	921.2	493.6	12.61	9.44	38.88	37.1	350	125	7.21
노틸러스	5	70.7	0.631	920.48	522	10.57	11.43	41.46	37.1	325	175	7.15
녹턴	5	71.6	0.722	922.8	413.8	11.26	8.56	40.88	37.1	345	125	7.59
누누	5	70.7	0.667	982.28	451.56	11.59	9.44	40.38	37.1	350	125	6.88
니달리	5	61.9	0.7	901.2	475.6	8.41	9.2	36.88	30	335	525	7.56
다리우스	5	75.9	0.644	982.24	413	13.65	7.99	45.88	37.1	340	175	7.66
다이애나	5	65	0.679	949.2	457.2	10.83	9.2	40.45	37.1	345	150	7.73
드레이븐	5	67.4	0.732	885.76	516.56	8.98	10.64	38.74	30	330	550	7.46
라이즈	5	67	0.665	902.48	600.4	7.47	9.2	37.15	30	340	550	7.64
람머스	5	69.9	0.667	908.48	442.44	10.12	9.84	48.58	37.1	335	125	7.46
럭스	5	66.7	0.651	793.72	572	7.62	9.2	34.72	30	330	550	7.71
럼블	5	73.8	0.68	904.4	100	10.41	0	39.88	37.1	345	125	7.47
레넥톤	5	70.7	0.718	920.16	100	10.96	0	40.78	37.1	345	125	7.61
레오나	5	72	0.679	924.16	462.2	11.83	9.2	41.61	37.1	335	125	7.8
렉사이	5	69	0.663	971.2	100	9.94	0	43.3	37.1	335	175	7.66
렝가	5	72	0.727	946.2	5	5.87	0	39.88	37.1	345	125	7.76
루시안	5	67.1	0.701	874.4	500.88	8.79	10.98	36.04	30	335	500	7.55
룰루	5	56.8	0.666	848.76	512.4	8.41	14.2	34.02	30	325	550	7.77
르블랑	5	68.9	0.651	816	534	9.62	9.2	35.88	30	335	525	7.46
리븐	5	68	0.691	902.48	0	5.34	0	37.18	37.1	345	125	7.91
리산드라	5	61.3	0.651	842.12	504	9.12	7.27	35.02	30	325	550	7.42
리신	5	74	0.71	910.8	200	10.23	50	39.02	37.1	350	125	7.71
마스터이	5	72	0.72	966.56	418.56	10.19	9.06	36.04	37.1	355	125	6.25
마오카이	5	76.7	0.738	932.2	549.28	12.08	9.01	44.72	30	335	125	7.27
말자하	5	66.7	0.651	834.4	505.6	7.62	9.2	35.88	30	340	550	7.69
말파아트	5	75.5	0.703	934.2	442.2	10.57	9.52	43.3	37.1	335	125	7.67
모데카이저	5	81	0.756	845	120	5.57	0	35	37.1	325	175	7.38
모르가나	5	69.5	0.654	891.48	580.8	8.11	9.2	40.58	30	335	450	7.7
문도	5	73.3	0.678	938.52	0	10.76	0	40.88	37.1	345	125	7.46
미스포츈	5	50	0.715	870	465.84	8.79	10.64	36.04	30	325	550	7.56
바드	5	58	0.663	907	550	7.6	7.8	37	30	330	500	6.1
바루스	5	64.3	0.71	865.76	492	7.62	10.54	36.81	30	330	575	7.68
바이	5	69.9	0.691	922.8	475.6	12.61	10.69	39.88	37.1	345	125	7.54
베이가	5	61.2	0.667	820.76	600.4	7.62	9.2	37.55	30	340	525	6.75
베인	5	63.5	0.737	830.44	371.8	7.62	8.57	32.61	30	330	550	7.29
벨코즈	5	67.5	0.651	811.68	543.6	7.62	9.2	35.88	30	340	525	7.67
볼리베어	5	72.7	0.679	928.48	390.4	10.69	10.69	40.38	37.1	345	125	7.5
브라움	5	68.2	0.687	924.16	490.6	12.18	9.2	44.72	37.1	335	125	7.66
브랜드	5	69	0.651	811.68	543.6	7.62	10.41	35.88	30	340	550	7.04
블라디미르	5	60	0.697	882.8	0	9.41	0	35.88	30	335	450	7.61
블리츠크랭크	5	75.5	0.646	962.6	427.2	11.51	11.7	40.38	37.1	325	125	7.47
빅토르	5	64	0.665	828.04	524	10.44	9.2	38.72	30	335	525	7.14
뽀삐	5	75.5	0.702	883.08	355.4	10.57	8.96	44.72	30	345	125	6.26
사이온	5	75.7	0.656	834.64	493.6	13.38	10.41	35.04	37.1	345	175	6.65
샤코	5	71.6	0.756	918.12	445.2	10.57	8.96	38.88	37.1	350	125	7.49
세주아니	5	70.7	0.699	980	560	12.08	9.01	41.54	37.1	340	125	7.25
소나	5	62	0.688	790.36	520.6	7.62	13.1	33.74	30	325	550	8.01
소라카	5	62	0.665	841.04	590.8	4.5	10.6	38.58	30	325	550	7.7
쉔	5	73.7	0.717	910.8	200	10.57	50	41.72	30	335	125	7.71
쉬바나	5	74.3	0.692	974.6	100	11.79	0	41.03	37.1	350	125	7.69
스웨인	5	64	0.665	828.04	562	10.44	9.2	38.72	30	335	500	7.76
스카너	5	78	0.664	985.28	432.2	12.33	9.01	44.58	37.1	345	125	6.92
시비르	5	67.1	0.655	843.76	484	7.37	11.61	35.21	30	335	500	7.52
신드라	5	65.5	0.647	823.04	624	8.91	9.2	38.31	30	330	550	7.17
신지드	5	75.8	0.646	870.76	470.6	10.22	9.72	41.88	30	345	125	7.41
신짜오	5	70.7	0.726	939.16	413.8	10.98	9.06	39.88	37.1	345	175	7.27
쓰레쉬	5	56.5	0.626	932.52	449.92	9.12	9.2	16	30	335	450	7.95
아리	5	65	0.706	834.4	534	8.91	9.2	34.88	30	330	550	8.05
아무무	5	68.6	0.68	949.12	447.2	12.28	9.48	37.94	37.1	335	125	7.72
아지르	5	63.2	0.627	844.4	518.56	9.12	9.2	31.04	30	325	525	6.27
아칼리	5	71.2	0.759	927.8	200	10.94	50	40.38	37.1	350	125	7.57
아트록스	5	73.2	0.71	877.8	285.6	8.59	0	39.58	37.1	345	150	6.78
알리스타	5	65.5	0.665	1037.36	430.84	12.08	11.7	38.38	37.1	330	125	7.68
애니	5	60.9	0.603	815.68	534	7.62	9.2	35.22	30	335	625	7.66
애니비아	5	64.2	0.657	747.6	596.04	7.77	9.2	37.22	30	325	600	7.66
애쉬	5	65.5	0.724	843.72	408	7.62	13.1	34.81	30	325	600	7.42
앨리스	5	62.5	0.658	849.4	524	8.11	9.2	35.53	30	330	550	7.69
야스오	5	68.2	0.727	845.76	60	10.11	0	38.31	30	345	175	7.01
에코	5	71	0.687	900	480	12.6	12.2	39	37	340	125	7.57
오공	5	72.7	0.717	917.8	417.84	8.79	10.64	38.88	37.1	345	175	7.15
오리아나	5	50.8	0.727	833.72	534	9.07	9.2	29.04	30	325	525	7.7
요릭	5	71.6	0.681	903.8	433.8	10.98	8.56	39.45	37.1	345	125	6.87
우디르	5	71.1	0.711	989.32	390.4	11.71	9.31	41.47	37.1	345	125	5.31
우르곳	5	66.4	0.7	942.52	532.4	8.91	11.19	37.74	30	335	425	6.22
울라프	5	74	0.75	969.24	483.6	12.11	9.77	38.04	37.1	350	125	7.43
워윅	5	75.9	0.738	984.64	360.4	11.59	10.51	39.88	37.1	345	125	7.43
이렐리아	5	74.7	0.729	967.2	466.8	11.19	14.1	40.3	37.1	345	125	7.51
이블린	5	67.9	0.734	891.2	483.6	12.02	10.51	41.7	37.1	340	125	7.28
이즈리얼	5	65.3	0.678	804.4	528.6	8.62	10.69	35.88	30	325	550	7.96
일라오이	5	80	0.614	965.6	460	12.7	10.5	41.2	37.1	340	125	7.88
자르반4세	5	69.3	0.707	931.2	462.2	10.98	8.56	43.4	37.1	340	175	7.7
자이라	5	66.2	0.665	775.32	534	7.69	11.7	32.04	30	325	575	7.62
잔나	5	63.8	0.674	799.04	665.52	7.62	10.6	34.58	30	335	475	7.6
재드	5	68.3	0.751	899.4	200	9.69	50	40.88	37.1	345	125	7.94
잭스	5	75.5	0.703	932.8	466.8	10.57	10.38	39.04	37.1	350	125	7.7
쟈크	5	73.2	0.669	994.6	0	10.12	0	37.88	37.1	335	175	7.72
제라스	5	66.7	0.656	834.4	542.96	7.62	9.2	35.88	30	340	525	7
제이스	5	64.4	0.711	931.2	505.2	10.54	9.2	36.38	30	335	125	7.67
직스	5	66.6	0.689	844.4	572	8.66	9.2	34.74	30	325	550	7.68
질리언	5	63.6	0.663	807.28	600.8	7.44	11.7	34.33	30	335	550	7.41
징크스	5	68.1	0.644	845.76	425.6	7.84	10.68	36.88	30	325	525	7.73
초가스	5	78	0.652	894.4	432.2	12.33	9.01	42.88	37.1	345	125	7.5
카르마	5	66.7	0.668	854.44	574	7.82	11.7	35.58	30	335	525	6.61
카사딘	5	74.5	0.711	876.04	665.6	9.79	9.2	36.18	30	340	150	7.66
카서스	5	58.7	0.665	816	616.48	8.62	9.2	34.88	30	335	450	7.69
카시오페이아	5	65.2	0.68	806	610.8	7.69	11.36	38.22	30	335	550	6.41
카직스	5	67.6	0.719	912.8	487.2	10.51	9.59	39	37.1	350	125	7.63
카타리나	5	70.8	0.712	842	0	6.7	0	40.88	37.1	345	125	7.71
칼리스타	5	74.6	0.713	849.76	371.8	8.2	7.9	33.01	30	325	550	7.16
케넨	5	63.7	0.76	851.72	200	8.19	50	39.3	30	335	550	7.63
케이틀린	5	62.4	0.7	844.4	453.8	7.87	9.62	36.88	30	325	650	7.72
케일	5	67.2	0.68	946.24	482.2	11.26	11.7	40.88	30	335	125	7.55
코그모	5	64.1	0.718	845	508.88	8.12	11.48	33.88	30	325	500	7.46
코르키	5	66	0.668	840.76	486.16	7.62	9.62	37.38	30	325	550	7.17
퀸	5	66.1	0.73	872.8	408.8	7.62	8.57	37.38	30	335	525	7.06
킨드레드	5	60.9	0.672	880	440	9.2	14.5	40	30	325	500	7.78
타릭	5	71.9	0.663	979.2	573.08	9.94	11.7	40.68	37.1	340	125	6.92
탈론	5	67.6	0.722	922.8	525.2	11.51	9.59	40.88	37.1	350	125	7.68
탐켄치	5	68.8	0.672	990	485	8.7	12	39	37.1	335	175	7.26
트런들	5	72	0.73	1000.28	461.6	12.83	9.91	38.34	37.1	350	175	6.6
트리스타나	5	63.5	0.686	870.76	374.76	8.79	9.01	34	30	325	578	7.59
트린다미어	5	74.2	0.7	1017.64	100	12.11	0	36.51	37.1	345	125	7.68
트위스티드페이트	5	63.2	0.714	849.76	417.84	7.91	9.2	33.14	30	330	525	7.72
트위치	5	64.1	0.748	849.08	447.2	8.41	9.06	35.04	30	330	550	6.98
티모	5	66.7	0.757	843.76	427.2	8.34	9.01	39.3	30	330	500	6.19
판테온	5	67.2	0.701	927.16	441.12	10.44	9.16	43.25	37.1	355	150	7.7
피들스틱	5	58.9	0.665	844.4	624.12	8.01	9.2	34.88	30	335	480	7.44
피오라	5	73.2	0.737	890	460	10.45	10.8	38	37.1	345	150	7.16
피즈	5	70	0.719	902.48	465.2	10.98	9.2	36.01	37.1	335	175	7.55
하이머딩거	5	66.3	0.651	776	467.2	18.01	9.2	31.04	30	340	550	6.33
